movieID;theaterID;showtime;date;seat;isMatinee;price
233161;AACGT;16:00;11/19;A1;True;$12.50
233530;AACGT;16:00;11/19;A2;True;$12.50
231120;AACGT;16:00;11/19;A3;True;$12.50
231534;AACGT;16:00;11/19;A4;True;$12.50
232024;AACGT;16:00;11/19;A5;True;$12.50
233807;AACGT;16:00;11/19;A6;True;$12.50
231675;AACGT;16:00;11/19;A7;True;$12.50
233473;AACGT;16:00;11/19;A8;True;$12.50
232154;AACGT;16:00;11/19;A9;True;$12.50
233881;AACGT;16:00;11/19;A10;True;$12.50
233161;AACGT;16:00;11/19;A11;True;$12.50
233861;AACGT;16:00;11/19;A12;True;$12.50
231534;AACGT;16:00;11/19;A13;True;$12.50
232898;AACGT;16:00;11/19;A14;True;$12.50
230575;AACGT;16:00;11/19;A15;True;$12.50
231120;AACGT;16:00;11/19;A16;True;$12.50
216918;AACGT;16:00;11/19;B1;True;$12.50
99112;AACGT;16:00;11/19;B2;True;$12.50
230575;AACGT;16:00;11/19;B3;True;$12.50
233197;AACGT;16:00;11/19;B4;True;$12.50
233473;AACGT;16:00;11/19;B5;True;$12.50
230575;AACGT;16:00;11/19;B6;True;$12.50
232271;AACGT;16:00;11/19;B7;True;$12.50
231059;AACGT;16:00;11/19;B8;True;$12.50
232580;AACGT;16:00;11/19;B9;True;$12.50
232898;AACGT;16:00;11/19;B10;True;$12.50
227748;AACGT;16:00;11/19;B11;True;$12.50
23292;AACGT;16:00;11/19;B12;True;$12.50
232577;AACGT;16:00;11/19;B13;True;$12.50
232141;AACGT;16:00;11/19;B14;True;$12.50
231675;AACGT;16:00;11/19;B15;True;$12.50
227532;AACGT;16:00;11/19;B16;True;$12.50
231059;AACGT;16:00;11/19;C1;True;$12.50
233549;AACGT;16:00;11/19;C2;True;$12.50
23292;AACGT;16:00;11/19;C3;True;$12.50
233759;AACGT;16:00;11/19;C4;True;$12.50
232014;AACGT;16:00;11/19;C5;True;$12.50
232097;AACGT;16:00;11/19;C6;True;$12.50
232282;AACGT;16:00;11/19;C7;True;$12.50
232432;AACGT;16:00;11/19;C8;True;$12.50
232097;AACGT;16:00;11/19;C9;True;$12.50
185727;AACGT;16:00;11/19;C10;True;$12.50
232014;AACGT;16:00;11/19;C11;True;$12.50
227532;AACGT;16:00;11/19;C12;True;$12.50
233893;AACGT;16:00;11/19;C13;True;$12.50
231059;AACGT;16:00;11/19;C14;True;$12.50
232097;AACGT;16:00;11/19;C15;True;$12.50
2023;AACGT;16:00;11/19;C16;True;$12.50
231714;AACGT;16:00;11/19;D1;True;$12.50
232218;AACGT;16:00;11/19;D2;True;$12.50
233530;AACGT;16:00;11/19;D3;True;$12.50
232024;AACGT;16:00;11/19;D4;True;$12.50
233634;AACGT;16:00;11/19;D5;True;$12.50
233341;AACGT;16:00;11/19;D6;True;$12.50
227532;AACGT;16:00;11/19;D7;True;$12.50
232730;AACGT;16:00;11/19;D8;True;$12.50
227532;AACGT;16:00;11/19;D9;True;$12.50
232577;AACGT;16:00;11/19;D10;True;$12.50
231938;AACGT;16:00;11/19;D11;True;$12.50
233414;AACGT;16:00;11/19;D12;True;$12.50
233341;AACGT;16:00;11/19;D13;True;$12.50
232141;AACGT;16:00;11/19;D14;True;$12.50
232297;AACGT;16:00;11/19;D15;True;$12.50
216918;AACGT;16:00;11/19;D16;True;$12.50
230575;AACGT;16:00;11/19;E1;True;$12.50
233893;AACGT;16:00;11/19;E2;True;$12.50
232701;AACGT;16:00;11/19;E3;True;$12.50
233161;AACGT;16:00;11/19;E4;True;$12.50
50896;AACGT;16:00;11/19;E5;True;$12.50
231997;AACGT;16:00;11/19;E6;True;$12.50
50896;AACGT;16:00;11/19;E7;True;$12.50
232141;AACGT;16:00;11/19;E8;True;$12.50
199151;AACGT;16:00;11/19;E9;True;$12.50
231675;AACGT;16:00;11/19;E10;True;$12.50
233462;AACGT;16:00;11/19;E11;True;$12.50
231938;AACGT;16:00;11/19;E12;True;$12.50
