movieID,theaterID,showtime,seat,isMatinee
233530,AAECS,10:00,A1,True
233861,AAECS,10:00,A2,True
230575,AAECS,10:00,A3,True
232432,AAECS,10:00,A4,True
233414,AAECS,10:00,A5,True
233197,AAECS,10:00,A6,True
232580,AAECS,10:00,A7,True
231059,AAECS,10:00,A8,True
232432,AAECS,10:00,A9,True
233633,AAECS,10:00,A10,True
23292,AAECS,10:00,A11,True
232297,AAECS,10:00,A12,True
227748,AAECS,10:00,A13,True
233473,AAECS,10:00,A14,True
233341,AAECS,10:00,A15,True
233893,AAECS,10:00,A16,True
232898,AAECS,10:00,B1,True
232097,AAECS,10:00,B2,True
233549,AAECS,10:00,B3,True
231120,AAECS,10:00,B4,True
216918,AAECS,10:00,B5,True
233161,AAECS,10:00,B6,True
233633,AAECS,10:00,B7,True
2023,AAECS,10:00,B8,True
233807,AAECS,10:00,B9,True
233347,AAECS,10:00,B10,True
233414,AAECS,10:00,B11,True
232141,AAECS,10:00,B12,True
232898,AAECS,10:00,B13,True
232432,AAECS,10:00,B14,True
232024,AAECS,10:00,B15,True
233861,AAECS,10:00,B16,True
232730,AAECS,10:00,C1,True
231714,AAECS,10:00,C2,True
232432,AAECS,10:00,C3,True
231120,AAECS,10:00,C4,True
23292,AAECS,10:00,C5,True
233881,AAECS,10:00,C6,True
232730,AAECS,10:00,C7,True
232141,AAECS,10:00,C8,True
2023,AAECS,10:00,C9,True
232218,AAECS,10:00,C10,True
232701,AAECS,10:00,C11,True
232701,AAECS,10:00,C12,True
232218,AAECS,10:00,C13,True
232432,AAECS,10:00,C14,True
233341,AAECS,10:00,C15,True
233473,AAECS,10:00,C16,True
232154,AAECS,10:00,D1,True
233161,AAECS,10:00,D2,True
232014,AAECS,10:00,D3,True
199151,AAECS,10:00,D4,True
23292,AAECS,10:00,D5,True
233549,AAECS,10:00,D6,True
233893,AAECS,10:00,D7,True
233462,AAECS,10:00,D8,True
233197,AAECS,10:00,D9,True
99112,AAECS,10:00,D10,True
231997,AAECS,10:00,D11,True
233807,AAECS,10:00,D12,True
232730,AAECS,10:00,D13,True
227748,AAECS,10:00,D14,True
232014,AAECS,10:00,D15,True
232297,AAECS,10:00,D16,True
233881,AAECS,10:00,E1,True
233347,AAECS,10:00,E2,True
232432,AAECS,10:00,E3,True
232097,AAECS,10:00,E4,True
232580,AAECS,10:00,E5,True
233881,AAECS,10:00,E6,True
233881,AAECS,10:00,E7,True
227748,AAECS,10:00,E8,True
231997,AAECS,10:00,E9,True
231997,AAECS,10:00,E10,True
230575,AAECS,10:00,E11,True
227748,AAECS,10:00,E12,True
233759,AAECS,10:00,E13,True
232024,AAECS,10:00,E14,True
233881,AAECS,10:00,E15,True
233549,AAECS,10:00,E16,True
227532,AAECS,10:00,F1,True
232577,AAECS,10:00,F2,True
233473,AAECS,10:00,F3,True
232014,AAECS,10:00,F4,True
232218,AAECS,10:00,F5,True
50896,AAECS,10:00,F6,True
233341,AAECS,10:00,F7,True
231938,AAECS,10:00,F8,True
232271,AAECS,10:00,F9,True
232271,AAECS,10:00,F10,True
233414,AAECS,10:00,F11,True
233893,AAECS,10:00,F12,True
232730,AAECS,10:00,F13,True
216918,AAECS,10:00,F14,True
216918,AAECS,10:00,F15,True
232898,AAECS,10:00,F16,True
232154,AAECS,10:00,G1,True
233341,AAECS,10:00,G2,True
233634,AAECS,10:00,G3,True
231714,AAECS,10:00,G4,True
2023,AAECS,10:00,G5,True
232577,AAECS,10:00,G6,True
232141,AAECS,10:00,G7,True
199151,AAECS,10:00,G8,True
233549,AAECS,10:00,G9,True
232701,AAECS,10:00,G10,True
231938,AAECS,10:00,G11,True
99112,AAECS,10:00,G12,True
216918,AAECS,10:00,G13,True
232297,AAECS,10:00,G14,True
232730,AAECS,10:00,G15,True
232154,AAECS,10:00,G16,True
232154,AAECS,10:00,H1,True
232154,AAECS,10:00,H2,True
216918,AAECS,10:00,H3,True
232580,AAECS,10:00,H4,True
23292,AAECS,10:00,H5,True
231976,AAECS,10:00,H6,True
231675,AAECS,10:00,H7,True
99112,AAECS,10:00,H8,True
232014,AAECS,10:00,H9,True
185727,AAECS,10:00,H10,True
232271,AAECS,10:00,H11,True
231714,AAECS,10:00,H12,True
231714,AAECS,10:00,H13,True
233759,AAECS,10:00,H14,True
230575,AAECS,10:00,H15,True
231938,AAECS,10:00,H16,True
233881,AAECS,10:00,I1,True
2023,AAECS,10:00,I2,True
231534,AAECS,10:00,I3,True
233881,AAECS,10:00,I4,True
23292,AAECS,10:00,I5,True
233807,AAECS,10:00,I6,True
231059,AAECS,10:00,I7,True
233462,AAECS,10:00,I8,True
233893,AAECS,10:00,I9,True
23292,AAECS,10:00,I10,True
185727,AAECS,10:00,I11,True
